year,gender,age,country,population
2002,Female,24--26,UZ,0
2002,Female,24--26,Unknown,0
2002,Female,24--26,VN,0
2002,Female,24--26,ZZ,0
2002,Female,27--29,AF,0
2002,Female,27--29,AL,0
2002,Female,27--29,BD,0
2002,Female,27--29,BF,0
2002,Female,27--29,BG,0
2002,Female,27--29,BO,0
2002,Female,27--29,BY,0
2002,Female,27--29,CD,0
2002,Female,27--29,CI,0
2002,Female,27--29,CN,0
2002,Female,27--29,CO,0
2002,Female,27--29,ER,0
2002,Female,27--29,GH,0
2002,Female,27--29,GN,0
2002,Female,27--29,GW,0
2002,Female,27--29,HT,0
2002,Female,27--29,ID,0
2002,Female,27--29,IN,0
2002,Female,27--29,KG,0
2002,Female,27--29,KH,0
2002,Female,27--29,KR,0
2002,Female,27--29,KZ,0
2002,Female,27--29,LA,0
2002,Female,27--29,LK,0
2002,Female,27--29,MD,91
2002,Female,27--29,MG,0
2002,Female,27--29,ML,0
2002,Female,27--29,MM,0
2002,Female,27--29,MX,0
2002,Female,27--29,NE,0
2002,Female,27--29,NG,0
2002,Female,27--29,NP,0
2002,Female,27--29,PH,0
2002,Female,27--29,RO,0
2002,Female,27--29,SL,0
2002,Female,27--29,SN,0
2002,Female,27--29,SV,0
2002,Female,27--29,TH,0
2002,Female,27--29,TJ,0
2002,Female,27--29,TM,0
2002,Female,27--29,UA,17
2002,Female,27--29,UG,0
2002,Female,27--29,US,0
2002,Female,27--29,UZ,0
2002,Female,27--29,Unknown,0
2002,Female,27--29,VN,0
2002,Female,27--29,ZZ,0
2002,Female,30--38,AF,0
2002,Female,30--38,AL,0
2002,Female,30--38,BD,0
2002,Female,30--38,BF,0
2002,Female,30--38,BG,0
2002,Female,30--38,BO,0
2002,Female,30--38,BY,0
2002,Female,30--38,CD,0
2002,Female,30--38,CI,0
2002,Female,30--38,CN,0
2002,Female,30--38,CO,13
2002,Female,30--38,ER,0
2002,Female,30--38,GH,0
2002,Female,30--38,GN,0
2002,Female,30--38,GW,0
2002,Female,30--38,HT,0
2002,Female,30--38,ID,0
2002,Female,30--38,IN,0
2002,Female,30--38,KG,0
2002,Female,30--38,KH,0
2002,Female,30--38,KR,0
2002,Female,30--38,KZ,0
2002,Female,30--38,LA,0
2002,Female,30--38,LK,0
2002,Female,30--38,MD,43
2002,Female,30--38,MG,0
2002,Female,30--38,ML,0
2002,Female,30--38,MM,0
2002,Female,30--38,MX,0
2002,Female,30--38,NE,0
2002,Female,30--38,NG,0
2002,Female,30--38,NP,0
2002,Female,30--38,PH,0
2002,Female,30--38,RO,0
2002,Female,30--38,SL,0
2002,Female,30--38,SN,0
2002,Female,30--38,SV,0
2002,Female,30--38,TH,0
2002,Female,30--38,TJ,0
2002,Female,30--38,TM,0
2002,Female,30--38,UA,18
2002,Female,30--38,UG,0
2002,Female,30--38,US,0
2002,Female,30--38,UZ,0
2002,Female,30--38,Unknown,0
2002,Female,30--38,VN,0
2002,Female,30--38,ZZ,0
2002,Female,39--47,AF,0
2002,Female,39--47,AL,0
2002,Female,39--47,BD,0
2002,Female,39--47,BF,0
2002,Female,39--47,BG,0
2002,Female,39--47,BO,0
2002,Female,39--47,BY,0
2002,Female,39--47,CD,0
2002,Female,39--47,CI,0
2002,Female,39--47,CN,0
2002,Female,39--47,CO,0
2002,Female,39--47,ER,0
2002,Female,39--47,GH,0
2002,Female,39--47,GN,0
2002,Female,39--47,GW,0
2002,Female,39--47,HT,0
2002,Female,39--47,ID,0
2002,Female,39--47,IN,0
2002,Female,39--47,KG,0
2002,Female,39--47,KH,0
2002,Female,39--47,KR,0
2002,Female,39--47,KZ,0
2002,Female,39--47,LA,0
2002,Female,39--47,LK,0
2002,Female,39--47,MD,0
2002,Female,39--47,MG,0
2002,Female,39--47,ML,0
2002,Female,39--47,MM,0
2002,Female,39--47,MX,0
2002,Female,39--47,NE,0
2002,Female,39--47,NG,0
2002,Female,39--47,NP,0
2002,Female,39--47,PH,0
2002,Female,39--47,RO,0
2002,Female,39--47,SL,0
2002,Female,39--47,SN,0
2002,Female,39--47,SV,0
2002,Female,39--47,TH,0
2002,Female,39--47,TJ,0
2002,Female,39--47,TM,0
