2015,Female,Other,342
2015,Female,Unknown,3807
2015,Male,Family/Relative,12
2015,Male,Friend,36
2015,Male,Intimate Partner,0
2015,Male,Other,456
2015,Male,Unknown,1372
2015,Unknown,Family/Relative,0
2015,Unknown,Friend,0
2015,Unknown,Intimate Partner,0
2015,Unknown,Other,0
2015,Unknown,Unknown,79
2016,Female,Family/Relative,826
2016,Female,Friend,819
2016,Female,Intimate Partner,614
2016,Female,Other,1309
2016,Female,Unknown,9578
2016,Male,Family/Relative,149
2016,Male,Friend,349
2016,Male,Intimate Partner,5
2016,Male,Other,924
2016,Male,Unknown,2927
2016,Unknown,Family/Relative,0
2016,Unknown,Friend,1
2016,Unknown,Intimate Partner,0
2016,Unknown,Other,1
2016,Unknown,Unknown,97
2017,Female,Family/Relative,356
2017,Female,Friend,198
2017,Female,Intimate Partner,629
2017,Female,Other,479
2017,Female,Unknown,6481
2017,Male,Family/Relative,26
2017,Male,Friend,17
2017,Male,Intimate Partner,5
2017,Male,Other,269
2017,Male,Unknown,1347
2017,Unknown,Family/Relative,0
2017,Unknown,Friend,0
2017,Unknown,Intimate Partner,0
2017,Unknown,Other,5
2017,Unknown,Unknown,281
2018,Female,Family/Relative,0
2018,Female,Friend,0
2018,Female,Intimate Partner,0
2018,Female,Other,0
2018,Female,Unknown,625
2018,Male,Family/Relative,0
2018,Male,Friend,0
2018,Male,Intimate Partner,0
2018,Male,Other,0
2018,Male,Unknown,645
2018,Unknown,Family/Relative,0
2018,Unknown,Friend,0
2018,Unknown,Intimate Partner,0
2018,Unknown,Other,0
2018,Unknown,Unknown,0
